Age (in months),Length (in milimeters)
0,15.75
1,16.4
2,17
3,17.6
4,18
5,18.5
6,18.9
7,19.25
8,19.5
9,19.8
10,20
11,20.4
12,20.7
13,20.9
14,21
15,21.25
16,21.5
17,21.6
18,21.75
19,21.85
20,21.9
21,22
22,22.1
23,22.3
24,22.4
25,22.5
26,22.6
27,22.6
28,22.7
29,22.8
30,22.9
31,23
32,23.1
33,23.1
34,23.1
35,23.2
36,23.2
37,23.2
38,23.3
39,23.3
40,23.3
41,23.4
42,23.4
43,23.4
44,23.5
45,23.5
46,23.5
47,23.5
48,23.6
49,23.6
50,23.6
51,23.7
52,23.7
53,23.7
54,23.8
55,23.8
56,23.8
57,23.9
58,23.9
59,23.9
60,24
61,24
62,24
63,24
64,24
65,24
66,24
67,24.1
68,24.1
69,24.1
70,24.1
71,24.1
72,24.2
73,24.2
74,24.2
75,24.2
76,24.2
77,24.2
78,24.2
79,24.2
80,24.2
81,24.2
82,24.2
83,24.2
84,24.3
85,24.3
86,24.3
87,24.3
88,24.3
89,24.3
90,24.3
91,24.4
92,24.4
93,24.4
94,24.4
95,24.4
96,24.5
97,24.5
98,24.5
99,24.5
100,24.5
101,24.5
102,24.5
103,24.5
104,24.5
105,24.5
106,24.5
107,24.5
108,24.6
109,24.6
110,24.6
111,24.6
112,24.6
113,24.6
114,24.6
115,24.6
116,24.6
117,24.6
118,24.6
119,24.6
120,24.7
121,24.7
122,24.7
123,24.7
124,24.7
125,24.7
126,24.7
127,24.7
128,24.7
129,24.7
130,24.7
131,24.7
132,24.8
133,24.8
134,24.8
135,24.8
136,24.8
137,24.8
138,24.8
139,24.8
140,24.8
141,24.8
142,24.8
143,24.8
144,24.85
145,24.85
146,24.85
147,24.85
148,24.85
149,24.85
150,24.85
151,24.85
152,24.85
153,24.85
154,24.85
155,24.85
156,24.9
157,24.9
158,24.9
159,24.9
160,24.9
161,24.9
162,24.9
163,24.9
164,24.9
165,24.9
166,24.9
167,24.9
168,24.9
