Age (in months),10th Percentile Stature (in centimeters)
24,81.99171
24.5,82.36401
25.5,83.11387
26.5,83.84716
27.5,84.56534
28.5,85.26962
29.5,85.96098
30.5,86.64027
31.5,87.3082
32.5,87.9654
33.5,88.61244
34.5,89.24986
35.5,89.87816
36.5,90.49789
37.5,91.08608
38.5,91.66589
39.5,92.23779
40.5,92.80225
41.5,93.35972
42.5,93.91068
43.5,94.45556
44.5,94.99482
45.5,95.52888
46.5,96.05817
47.5,96.5831
48.5,97.10407
49.5,97.62147
50.5,98.13566
51.5,98.64701
52.5,99.15585
53.5,99.6625
54.5,100.1673
55.5,100.6705
56.5,101.1723
57.5,101.6731
58.5,102.173
59.5,102.6723
60.5,103.1712
61.5,103.6697
62.5,104.1682
63.5,104.6666
64.5,105.1651
65.5,105.6638
66.5,106.1627
67.5,106.6619
68.5,107.1614
69.5,107.6611
70.5,108.1612
71.5,108.6614
72.5,109.1619
73.5,109.6624
74.5,110.1629
75.5,110.6633
76.5,111.1634
77.5,111.6631
78.5,112.1623
79.5,112.6608
80.5,113.1583
81.5,113.6548
82.5,114.1499
83.5,114.6436
84.5,115.1356
85.5,115.6257
86.5,116.1136
87.5,116.5992
88.5,117.0822
89.5,117.5625
90.5,118.0398
91.5,118.5139
92.5,118.9847
93.5,119.4519
94.5,119.9153
95.5,120.3749
96.5,120.8305
97.5,121.2819
98.5,121.729
99.5,122.1716
100.5,122.6099
101.5,123.0435
102.5,123.4726
103.5,123.897
104.5,124.3168
105.5,124.7319
106.5,125.1425
107.5,125.5485
108.5,125.9501
109.5,126.3473
110.5,126.7402
111.5,127.1291
112.5,127.514
113.5,127.8953
114.5,128.273
115.5,128.6474
116.5,129.0189
117.5,129.3876
118.5,129.754
119.5,130.1183
120.5,130.4809
121.5,130.8422
122.5,131.2026
123.5,131.5625
124.5,131.9224
125.5,132.2828
126.5,132.6441
127.5,133.0068
128.5,133.3714
129.5,133.7386
130.5,134.1089
131.5,134.4828
132.5,134.8608
133.5,135.2437
134.5,135.6318
135.5,136.026
136.5,136.4266
137.5,136.8343
138.5,137.2496
139.5,137.673
140.5,138.105
141.5,138.5461
142.5,138.9968
143.5,139.4573
144.5,139.928
145.5,140.4091
146.5,140.9009
147.5,141.4034
148.5,141.9167
149.5,142.4407
150.5,142.9752
151.5,143.52
152.5,144.0746
153.5,144.6388
154.5,145.2117
155.5,145.7928
156.5,146.3813
157.5,146.9763
158.5,147.5767
159.5,148.1815
160.5,148.7896
161.5,149.3998
162.5,150.0107
163.5,150.621
164.5,151.2295
165.5,151.8348
166.5,152.4355
167.5,153.0304
168.5,153.6181
169.5,154.1975
170.5,154.7674
171.5,155.3268
172.5,155.8746
173.5,156.4099
174.5,156.9319
175.5,157.4399
176.5,157.9334
177.5,158.4118
178.5,158.8747
179.5,159.3218
180.5,159.7529
181.5,160.168
182.5,160.5669
183.5,160.9498
184.5,161.3167
185.5,161.6679
186.5,162.0035
187.5,162.3239
188.5,162.6294
189.5,162.9204
190.5,163.1973
191.5,163.4605
192.5,163.7104
193.5,163.9476
194.5,164.1725
195.5,164.3856
196.5,164.5873
197.5,164.7782
198.5,164.9587
199.5,165.1292
200.5,165.2903
201.5,165.4424
202.5,165.586
203.5,165.7214
204.5,165.8491
205.5,165.9694
206.5,166.0828
207.5,166.1897
208.5,166.2903
209.5,166.3851
210.5,166.4743
211.5,166.5583
212.5,166.6373
213.5,166.7116
214.5,166.7816
215.5,166.8474
216.5,166.9094
217.5,166.9676
218.5,167.0224
219.5,167.074
220.5,167.1224
221.5,167.168
222.5,167.2109
223.5,167.2513
224.5,167.2892
225.5,167.325
226.5,167.3585
227.5,167.3902
228.5,167.4199
229.5,167.4479
230.5,167.4742
231.5,167.499
232.5,167.5224
233.5,167.5444
234.5,167.5651
235.5,167.5846
236.5,167.6029
237.5,167.6203
238.5,167.6366
239.5,167.6519
240,167.6593
