Age (in months);10th Percentile Weight (in kilograms)
24;11.05266
24.5;11.1149
25.5;11.23747
26.5;11.35806
27.5;11.47728
28.5;11.59567
29.5;11.71368
30.5;11.8317
31.5;11.95005
32.5;12.069
33.5;12.18875
34.5;12.30948
35.5;12.43132
36.5;12.55436
37.5;12.67868
38.5;12.80431
39.5;12.93128
40.5;13.05959
41.5;13.18923
42.5;13.32017
43.5;13.45238
44.5;13.58581
45.5;13.72043
46.5;13.85618
47.5;13.99301
48.5;14.13086
49.5;14.26968
50.5;14.40943
51.5;14.55004
52.5;14.69148
53.5;14.8337
54.5;14.97666
55.5;15.12032
56.5;15.26465
57.5;15.40962
58.5;15.55521
59.5;15.70139
60.5;15.84814
61.5;15.99546
62.5;16.14334
63.5;16.29176
64.5;16.44074
65.5;16.59026
66.5;16.74033
67.5;16.89096
68.5;17.04215
69.5;17.19393
70.5;17.34629
71.5;17.49926
72.5;17.65285
73.5;17.80708
74.5;17.96197
75.5;18.11754
76.5;18.2738
77.5;18.43077
78.5;18.58848
79.5;18.74695
80.5;18.9062
81.5;19.06624
82.5;19.2271
83.5;19.3888
84.5;19.55136
85.5;19.71479
86.5;19.87913
87.5;20.04438
88.5;20.21057
89.5;20.37771
90.5;20.54584
91.5;20.71496
92.5;20.88511
93.5;21.05629
94.5;21.22855
95.5;21.4019
96.5;21.57637
97.5;21.75198
98.5;21.92878
99.5;22.10678
100.5;22.28602
101.5;22.46654
102.5;22.64838
103.5;22.83157
104.5;23.01617
105.5;23.20222
106.5;23.38976
107.5;23.57885
108.5;23.76955
109.5;23.96192
110.5;24.15601
111.5;24.35189
112.5;24.54962
113.5;24.74929
114.5;24.95096
115.5;25.1547
116.5;25.3606
117.5;25.56874
118.5;25.77921
119.5;25.99208
120.5;26.20745
121.5;26.42541
122.5;26.64604
123.5;26.86945
124.5;27.09573
125.5;27.32496
126.5;27.55726
127.5;27.7927
128.5;28.0314
129.5;28.27343
130.5;28.51891
131.5;28.76791
132.5;29.02052
133.5;29.27685
134.5;29.53696
135.5;29.80095
136.5;30.06888
137.5;30.34084
138.5;30.61689
139.5;30.8971
140.5;31.18151
141.5;31.4702
142.5;31.76319
143.5;32.06052
144.5;32.36224
145.5;32.66834
146.5;32.97885
147.5;33.29378
148.5;33.6131
149.5;33.93681
150.5;34.26488
151.5;34.59726
152.5;34.93391
153.5;35.27477
154.5;35.61976
155.5;35.96879
156.5;36.32176
157.5;36.67857
158.5;37.03908
159.5;37.40317
160.5;37.77067
161.5;38.14143
162.5;38.51526
163.5;38.89198
164.5;39.27138
165.5;39.65325
166.5;40.03736
167.5;40.42347
168.5;40.81133
169.5;41.20067
170.5;41.59121
171.5;41.98269
172.5;42.37479
173.5;42.76722
174.5;43.15967
175.5;43.55182
176.5;43.94334
177.5;44.3339
178.5;44.72317
179.5;45.1108
180.5;45.49646
181.5;45.8798
182.5;46.26048
183.5;46.63815
184.5;47.01247
185.5;47.3831
186.5;47.74972
187.5;48.11199
188.5;48.46959
189.5;48.82222
190.5;49.16956
191.5;49.51134
192.5;49.84727
193.5;50.17709
194.5;50.50055
195.5;50.81743
196.5;51.12752
197.5;51.43062
198.5;51.72656
199.5;52.0152
200.5;52.29642
201.5;52.57011
202.5;52.8362
203.5;53.09465
204.5;53.34544
205.5;53.58858
206.5;53.82409
207.5;54.05205
208.5;54.27255
209.5;54.4857
210.5;54.69165
211.5;54.89058
212.5;55.08267
213.5;55.26814
214.5;55.44723
215.5;55.6202
216.5;55.78731
217.5;55.94884
218.5;56.10508
219.5;56.25633
220.5;56.40286
221.5;56.54495
222.5;56.68288
223.5;56.81689
224.5;56.94719
225.5;57.07396
226.5;57.19732
227.5;57.31737
228.5;57.43409
229.5;57.54742
230.5;57.6572
231.5;57.76315
232.5;57.86488
233.5;57.96187
234.5;58.05343
235.5;58.13869
236.5;58.21662
237.5;58.28594
238.5;58.34515
239.5;58.39247
240;58.41105
