Age (in months),Head Circumference (in millimetres)
0,33.1
1,35.8
2,37.7
3,39.3
4,40.4
5,41.3
6,42
7,42.6
8,43.2
9,43.7
10,44
11,44.4
12,44.7
13,45
14,45.3
15,45.5
16,45.7
17,46
18,46.1
19,46.2
20,46.4
21,46.5
22,46.6
23,46.8
24,46
25,46.2
26,46.4
27,46.6
28,46.8
29,47
30,47.2
31,47.4
32,47.6
33,47.8
34,48
35,48.1
36,48.2
37,48.3
38,48.4
39,48.4
40,48.5
41,48.5
42,48.6
43,48.6
44,48.7
45,48.8
46,48.8
47,48.9
48,49
49,49
50,49
51,49
52,49.1
53,49.1
54,49.2
55,49.3
56,49.3
57,49.4
58,49.4
59,49.4
60,49.5
61,49.5
62,49.5
63,49.6
64,49.6
65,49.6
66,49.7
67,49.7
68,49.7
69,49.8
70,49.8
71,49.8
72,49.9
73,49.9
74,49.9
75,49.9
76,50
77,50
78,50
79,50
80,50.1
81,50.1
82,50.2
83,50.2
84,50.3
85,50.3
86,50.4
87,50.4
88,50.5
89,50.5
90,50.5
91,50.5
92,50.6
93,50.6
94,50.6
95,50.6
96,50.7
97,50.7
98,50.7
99,50.7
100,50.7
101,50.8
102,50.8
103,50.8
104,50.9
105,50.9
106,50.9
107,50.9
108,51
109,51
110,51.1
111,51.1
112,51.1
113,51.2
114,51.2
115,51.2
116,51.3
117,51.4
118,51.4
119,51.4
120,51.5
121,51.5
122,51.5
123,51.6
124,51.6
125,51.7
126,51.7
127,51.7
128,51.8
129,51.8
130,51.8
131,51.8
132,51.9
133,51.9
134,51.9
135,51.9
136,51.9
137,52
138,52
139,52
140,52
141,52.1
142,52.1
143,52.1
144,52.2
145,52.2
146,52.2
147,52.2
148,52.3
149,52.3
150,52.4
151,52.4
152,52.4
153,52.5
154,52.5
155,52.5
156,52.6
157,52.6
158,52.6
159,52.7
160,52.7
161,52.7
162,52.8
163,52.8
164,52.8
165,52.9
166,52.9
167,52.9
168,53
169,53
170,53
171,53
172,53
173,53
174,53
175,53.1
176,53.1
177,53.1
178,53.1
179,53.1
180,53.2
181,53.2
182,53.2
183,53.3
184,53.3
185,53.4
186,53.4
187,53.5
188,53.5
189,53.6
190,53.6
191,53.6
192,53.7
193,53.7
194,53.7
195,53.7
196,53.8
197,53.8
198,53.8
199,53.8
200,53.9
201,53.9
202,53.9
203,53.9
204,54
205,54
206,54
207,54
208,54.1
209,54.1
210,54.1
211,54.1
212,54.2
213,54.2
214,54.2
215,54.2
216,54.3
217,54.3
218,54.3
219,54.3
220,54.3
221,54.4
222,54.4
223,54.4
224,54.4
225,54.5
226,54.5
227,54.5
228,54.6
229,54.6
230,54.6
231,54.6
232,54.6
233,54.6
234,54.6
235,54.6
236,54.6
237,54.6
238,54.6
239,54.6
240,54.7
241,54.7
242,54.7
243,54.7
244,54.7
245,54.7
246,54.7
247,54.7
248,54.7
249,54.7
250,54.7
251,54.7
252,54.8
